mcsADDN:bdoHROUMapping
OU=00001,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Cubao Area; Aurora Blvd.-Yale Branch
OU=00002,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 1 Area; C.M. Recto Branch
OU=00003,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Pasay Area; Baclaran Branch
OU=00004,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati Central Area; SM Makati Branch
OU=00005,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 1 Area; España Branch
OU=00006,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Pasay Area; Pasay Branch
OU=00007,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Las Piñas Area; Bacoor-Zapote Branch
OU=00008,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Banawe Area; Sto. Domingo Branch
OU=00009,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati Central Area; Makati Shangrila Hotel Branch
OU=00010,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Binondo Area; Echague Branch
OU=00011,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; Caloocan Branch
OU=00012,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Chinatown Area; Gandara Branch
OU=00014,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:#DIV/0!; Region 4-Metro Manila East; Makati 1 Area; Makati-J.P. Rizal Branch
OU=00015,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; Blumentritt Branch
OU=00016,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Cubao Area; SM Cubao Branch
OU=00017,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 2 Area; Kamagong Branch
OU=00018,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Pasig Area; Pasig-Kapasigan Branch
OU=00019,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Monumento Area; Malabon Branch
OU=00021,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Mandaluyong Area; Kalentong Branch
OU=00022,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Timog Area; E. Rodriguez Branch
OU=00023,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Tondo Area; J. Abad Santos Branch
OU=00024,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Greenhills Area; Greenhills-O Square Branch
OU=00025,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Commonwealth Area; SM City North EDSA A Branch
OU=00026,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Tondo Area; Arranque Branch
OU=00027,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Del Monte Area; Quezon Avenue-West Triangle Branch
OU=00028,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Ortigas Area; SM Megamall B Branch
OU=00029,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Greenhills Area; San Juan-Pinaglabanan Branch
OU=00030,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Banawe Area; SM City Sta. Mesa Branch
OU=00031,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Binondo Area; Lavezares Branch
OU=00032,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Las Piñas Area; Las Piñas-Talon Branch
OU=00033,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Marikina Area; Marikina-Concepcion Branch
OU=00034,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Monumento Area; Valenzuela Branch
OU=00035,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Mandaluyong Area; Shaw Blvd.-Wack-Wack Branch
OU=00036,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Chinatown Area; Tabora Branch
OU=00037,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Pasay Area; Buendia-Taft Branch
OU=00038,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 2 Area; Makati-Pasay Road Branch
OU=00039,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Fairview Area; Fairview Branch
OU=00040,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Binondo Area; Sto. Cristo Branch
OU=00041,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 1 Area; Bel-Air-SM Cyberzone 1 Branch
OU=00042,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; Rizal Avenue Branch
OU=00043,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 1 Area; Makati-Metropolitan Avenue Branch
OU=00044,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Ortigas Area; SM Megamall A Branch
OU=00045,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Chinatown Area; Ilaya Branch
OU=00046,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 1 Area; Paseo Tower-Makati Branch
OU=00047,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Binondo Area; SM City Manila Branch
OU=00048,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 2 Area; Taft Avenue-J. Nakpil Branch
OU=00049,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Bicutan/Sucat Area; Airport Road Branch
OU=00050,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 2 Area; Taft Avenue-Estrada St. Branch
OU=00051,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Chinatown Area; Carmen Planas Branch
OU=00052,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Fairview Area; Novaliches Branch
OU=00053,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 2 Area; San Andres Branch
OU=00055,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Mandaluyong Area; Boni-Maysilo Branch
OU=00056,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 1 Area; UN Avenue Branch
OU=00057,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Binondo Area; Quintin Paredes Branch
OU=00058,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Rizal Area; Cainta Junction Branch
OU=00059,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Monumento Area; Potrero Branch
OU=00060,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Monumento Area; Monumento Branch
OU=00061,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; Grace Park Branch
OU=00062,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Las Piñas Area; Las Piñas-Pamplona Branch
OU=00063,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Marikina Area; SM City Masinag Branch
OU=00065,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Alabang Area; Ayala Alabang Branch
OU=00066,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Ortigas Area; BDO Corporate Center Ortigas Branch
OU=00067,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Commonwealth Area; SM City North EDSA B Branch
OU=00068,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Las Piñas Area; SM Southmall A Branch
OU=00069,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Tondo Area; JAS-Padre Algue Branch
OU=00070,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Caloocan Area; Tayuman Branch
OU=00071,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Iloilo Area; SM Delgado Branch
OU=00072,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Bacolod Area; Bacolod Gonzaga Branch
OU=00073,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 6-Southern Luzon; Bicol Area; Naga-General Luna Branch
OU=00074,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Iloilo Area; Iloilo-Jaro Branch
OU=00076,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Cebu 1 Area; Cebu-Osmeña Branch
OU=00077,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Eastern Visayas Area; Cebu Magallanes Branch
OU=00078,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Iloilo Area; SM City Iloilo Branch
OU=00079,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Western Luzon Area; Baguio-Luneta Branch
OU=00080,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Cebu 1 Area; SM City Cebu Branch
